Write to file (w) or plot (p):         131232 function calls (128634 primitive calls) in 4408.874 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.005    0.005 subprocess.py:14(<module>)
       96    0.001    0.000    0.005    0.000 sre_compile.py:359(_compile_info)
        1    0.004    0.004    0.005    0.005 __init__.py:4(<module>)
        1    0.002    0.002    0.005    0.005 index_tricks.py:1(<module>)
        1    0.004    0.004    0.005    0.005 hermite_e.py:59(<module>)
        1    0.000    0.000    0.005    0.005 text.py:3(<module>)
      407    0.001    0.000    0.005    0.000 artist.py:911(get_valid_values)
     3318    0.003    0.000    0.005    0.000 sre_parse.py:130(__getitem__)
        1    0.003    0.003    0.005    0.005 subprocess.py:387(<module>)
        1    0.005    0.005    0.005    0.005 linalg.py:10(<module>)
        1    0.003    0.003    0.005    0.005 transforms.py:30(<module>)
       75    0.000    0.000    0.005    0.000 genericpath.py:15(exists)
        1    0.002    0.002    0.005    0.005 legend.py:13(<module>)
       89    0.001    0.000    0.004    0.000 docstring.py:103(dedent_interpd)
      173    0.001    0.000    0.004    0.000 cbook.py:1078(dedent)
       60    0.000    0.000    0.004    0.000 pkg_resources.py:1354(has_metadata)
      165    0.000    0.000    0.004    0.000 docstring.py:86(dedent)
        1    0.001    0.001    0.004    0.004 tz.py:6(<module>)
        1    0.001    0.001    0.004    0.004 texmanager.py:35(<module>)
      200    0.001    0.000    0.004    0.000 pkg_resources.py:2180(__init__)
        3    0.000    0.000    0.004    0.001 __init__.py:554(_get_config_or_cache_dir)
       60    0.000    0.000    0.004    0.000 pkg_resources.py:1457(_has)
        1    0.001    0.001    0.004    0.004 lines.py:4(<module>)
        1    0.003    0.003    0.004    0.004 axes3d.py:11(<module>)
     11/7    0.000    0.000    0.004    0.001 __init__.py:311(wrapper)
      142    0.000    0.000    0.004    0.000 cm.py:61(_generate_cmap)
 1145/435    0.003    0.000    0.004    0.000 sre_parse.py:140(getwidth)
      520    0.002    0.000    0.004    0.000 inspect.py:744(getargs)
        1    0.003    0.003    0.004    0.004 socket.py:45(<module>)
        3    0.000    0.000    0.004    0.001 __init__.py:210(_is_writable_dir)
        1    0.000    0.000    0.004    0.004 texmanager.py:86(TexManager)
        1    0.003    0.003    0.004    0.004 case.py:1(<module>)
